movie_id,tomatometer,audience_score
8,25%,42%
6,,
2,76%,87%
1,100%,92%
7,,34%
4,56%,79%
10,79%,83%
5,50%,60%
3,17%,62%
9,,
11,91%,77%
12,11%,49%
14,74%,74%
13,54%,70%
16,,
15,38%,40%
18,13%,69%
20,22%,29%
19,25%,72%
23,16%,45%
24,50%,69%
21,88%,70%
26,,
25,91%,85%
27,32%,82%
31,29%,64%
38,,
36,,62%
33,,
37,,75%
35,54%,74%
39,82%,76%
40,89%,67%
45,,
42,45%,78%
48,,
44,48%,57%
49,50%,81%
50,89%,96%
51,,60%
52,78%,73%
46,62%,63%
55,,
53,91%,89%
54,0%,46%
56,,60%
60,73%,40%
61,,
63,31%,80%
62,75%,84%
65,4%,51%
64,11%,23%
67,40%,39%
70,62%,76%
71,,38%
69,78%,91%
75,0%,19%
74,19%,67%
76,40%,32%
72,41%,43%
79,18%,31%
77,88%,89%
78,75%,53%
81,33%,72%
85,71%,68%
88,72%,53%
87,12%,40%
83,71%,86%
84,64%,47%
89,32%,47%
92,26%,40%
96,81%,88%
94,79%,81%
93,12%,31%
99,75%,47%
86,58%,65%
100,56%,38%
101,85%,80%
103,21%,28%
102,7%,26%
104,61%,85%
107,73%,77%
108,29%,57%
105,90%,87%
109,,
110,,
111,96%,93%
116,97%,83%
117,86%,84%
119,15%,46%
113,,
120,22%,41%
114,67%,79%
118,18%,52%
121,100%,82%
122,,
125,87%,69%
128,80%,84%
131,71%,71%
129,,42%
130,,
133,,75%
132,14%,27%
134,,73%
136,100%,67%
135,12%,62%
137,21%,45%
138,55%,44%
140,31%,66%
141,80%,81%
144,89%,60%
147,45%,76%
149,,
146,20%,41%
152,,
153,39%,32%
155,39%,71%
156,41%,76%
150,96%,87%
157,14%,52%
158,51%,49%
160,22%,29%
165,59%,83%
166,47%,62%
162,95%,89%
161,88%,83%
163,64%,79%
159,71%,74%
164,88%,70%
167,67%,50%
169,50%,42%
171,68%,68%
170,33%,68%
174,0%,26%
172,12%,31%
173,20%,30%
168,43%,55%
175,47%,77%
176,88%,87%
177,60%,52%
182,15%,51%
183,83%,66%
185,41%,44%
184,60%,67%
181,37%,56%
180,57%,82%
188,100%,
186,26%,37%
189,,41%
191,,36%
190,86%,75%
192,13%,37%
193,21%,37%
194,,
196,43%,31%
195,39%,52%
198,62%,72%
197,50%,40%
200,8%,32%
201,13%,52%
203,39%,71%
205,74%,61%
204,34%,38%
202,25%,61%
206,80%,78%
208,46%,43%
215,100%,93%
212,11%,37%
216,42%,79%
218,74%,69%
210,44%,27%
220,63%,44%
222,78%,73%
224,69%,68%
228,17%,21%
225,59%,41%
229,82%,81%
227,41%,31%
230,84%,81%
223,89%,89%
234,6%,25%
233,97%,83%
235,92%,88%
236,48%,74%
238,57%,53%
240,,
241,27%,69%
237,50%,56%
242,58%,82%
245,65%,39%
243,26%,24%
244,20%,63%
246,98%,93%
251,,
248,14%,55%
249,56%,86%
252,42%,47%
247,92%,83%
254,31%,34%
256,,
259,,
257,26%,46%
261,,
267,33%,68%
266,58%,87%
268,61%,70%
270,,
271,45%,73%
263,75%,84%
272,93%,80%
275,10%,47%
274,9%,46%
277,96%,87%
278,45%,26%
279,85%,88%
280,50%,80%
282,55%,64%
283,64%,84%
285,,25%
287,50%,53%
288,48%,81%
289,54%,68%
290,93%,95%
294,65%,59%
297,27%,75%
296,92%,96%
299,15%,46%
292,59%,55%
304,29%,57%
300,96%,87%
313,50%,66%
310,,42%
314,95%,87%
312,30%,52%
315,,
318,91%,98%
311,,70%
316,53%,73%
317,71%,65%
320,71%,70%
322,78%,79%
324,67%,80%
328,36%,64%
325,0%,55%
329,48%,57%
330,50%,68%
335,59%,39%
339,80%,79%
333,42%,90%
337,90%,89%
334,89%,80%
327,40%,63%
338,32%,32%
341,73%,70%
340,13%,51%
342,78%,84%
344,49%,57%
345,96%,88%
347,65%,81%
346,69%,66%
348,97%,83%
350,78%,69%
349,80%,74%
352,77%,90%
354,65%,59%
351,39%,69%
353,83%,90%
357,96%,74%
359,80%,91%
358,45%,74%
361,,
360,22%,33%
364,93%,93%
368,66%,71%
365,68%,53%
356,71%,95%
369,75%,60%
370,54%,53%
367,93%,83%
371,88%,66%
372,66%,74%
373,95%,75%
374,24%,31%
377,,62%
376,58%,51%
382,,
375,54%,73%
379,45%,36%
378,11%,34%
381,71%,77%
380,71%,76%
386,12%,49%
390,70%,78%
388,,
391,61%,91%
394,,67%
393,80%,81%
396,,36%
392,80%,86%
397,,41%
395,22%,
398,88%,88%
399,,
400,,
402,48%,57%
401,82%,78%
407,59%,73%
408,31%,94%
410,77%,63%
411,50%,86%
406,82%,68%
413,23%,50%
409,53%,83%
412,84%,75%
414,21%,35%
415,16%,28%
418,54%,42%
421,,
422,63%,45%
424,37%,51%
425,79%,58%
427,17%,35%
426,69%,39%
431,81%,91%
430,11%,31%
429,46%,42%
432,17%,31%
435,35%,37%
434,,
437,14%,22%
436,22%,30%
442,60%,66%
441,92%,90%
438,21%,59%
440,95%,72%
